Category,Name,URL,Free Bonus Estimate,Est. Earnings Per 10 Signups
Casinos,CROWNS,https://crowncoinscasino.com/?utm_campaign=8a0fea69-022f-479b-8b09-48e8460469a6&utm_source=friends,$0-50 (casino coins),$100-250
Casinos,ROLLA.COM,https://www.rolla.com/?raf=1177873,$25-100,$250-500
Casinos,REALPRIZE.COM,https://realprize.com/refer/2018465,$0-50,$150-300
Casinos,SPINBLITZ.com,https://www.spinblitz.com/lp/raf?r=0935b0ad%2F2735495799,$25-75,$150-350
Casinos,Mcluck.com,https://www.mcluck.com/lp/raf?r=5ac6645c%2F2735506871,$25-75,$200-400
Casinos,Casino.click,https://casino.click/?modal=iqs-sign-up&ReferenceCode=632453&AffiliatePlatformId=200,$50-100,$250-500
Casinos,Babacasino.com,https://play.babacasino.com/#/?referral_id=071466df7d98f97fe7b1ed91bf8e2ff7&inv_referral=true&fb_source=invite,$50-150,$300-600
Casinos,Ignition,https://www.ignitioncasino.eu/welcome/P63874DF/join,$100-300,$500-1000
Casinos,Wow Vegas,https://www.wowvegas.com/?raf=12433217,$50-100,$200-400
Rewards & Cash Back,Fetch,https://referral.fetch.com/vvv3/referralqr?code=3AX5JU,$1-5,$20-50
Rewards & Cash Back,Spree.com,https://spree.com/?r=2285032,$5-10,$50-150
Rewards & Cash Back,Mistplay,https://mistplay.onelink.me/ZGRQ/yi5xdpjq,$2-5,$20-50
Financial Services,SoFi Personal Loans,https://www.sofi.com/invite/personal-loans?gcp=03adc5f9-015e-4adf-b648-bd0c6cb3d8f1&isAliasGcp=false,$300,$3000
Financial Services,SoFi Credit Monitoring,https://www.sofi.com/invite/relay?gcp=05b66efb-03f5-4260-9648-6bed10ef45b1&isAliasGcp=false,$10,$100-200
Financial Services,SoFi Invest,https://www.sofi.com/invite/invest?gcp=9ca854df-3027-4ca2-b723-12d87aebac29&isAliasGcp=false,$25,$200-300
Financial Services,SoFi Crypto,https://www.sofi.com/invite/crypto?gcp=707f29be-3ef6-4041-862d-3f053acba3da&isAliasGcp=false,$25,$200-300
Financial Services,SoFi Money,https://www.sofi.com/invite/money?gcp=547822fd-2195-4f86-b2ba-b5f489050d21&isAliasGcp=false,$25-425,$300-500
Crypto,Opus.pro,https://www.opus.pro/?via=790569,$0-10,$100-250
Passive Income,Honeygain,https://join.honeygain.com/CENTRFAD3A,$5-20,$50-200
Passive Income,Vultr,https://www.vultr.com/?ref=9896825-9J,$50-100 credit,$200-500
GRAND TOTAL,All 20 Links,,$710-1680,$7530-10590
